id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
204,华泰证券定量分析研究实习,久亿财富投资有限公司定量分析研究实习,平安银行信贷部实习,,,,,,,,,,,,
205,华泰证券定量分析研究实习,久亿财富投资有限公司定量分析研究实习,平安银行信贷部实习,,,,,,,,,,,,
206,华泰证券定量分析研究实习,久亿财富投资有限公司定量分析研究实习,平安银行信贷部实习,,,,,,,,,,,,
207,成都秦汉博阳文化传播有限公司,日本上智大学（SophiaUniversity）暑校,日本庆应义塾大学（KeioUniversity）交换项目Program:JapaneseLanguage,,,,,,,,,,,,
208,成都秦汉博阳文化传播有限公司,日本上智大学（SophiaUniversity）暑校,日本庆应义塾大学（KeioUniversity）交换项目Program:JapaneseLanguage,,,,,,,,,,,,
209,NO BACKGROUND,,,,,,,,,,,,,,
210,NO BACKGROUND,,,,,,,,,,,,,,
211,国信证券股份有限公司红岭分公司实习,PrivCo.数据分析实习生,校级：2019CIWEI-365miniLAB商业分析活动,伯明翰大学国际暑期数学金融课程,博科尼大学暑期课程,,,,,,,,,,
212,"YiPiaoBaoInternationalFinanceInformationServicesCO.,LTDinternship",JovoGroupinternship,AlliancePKUManagementConsultantsLtd.internship,TheGluGo,0MarketingPlan,OrganizationalBehaviorReport,,,,,,,,,
213,"YiPiaoBaoInternationalFinanceInformationServicesCO.,LTDinternship",JovoGroupinternship,AlliancePKUManagementConsultantsLtd.internship,TheGluGo,0MarketingPlan,OrganizationalBehaviorReport,,,,,,,,,
214,国信证券股份有限公司红岭分公司实习,PrivCo.数据分析实习生,校级：2019CIWEI-365miniLAB商业分析活动,伯明翰大学国际暑期数学金融课程,博科尼大学暑期课程,,,,,,,,,,
215,兴业银行实习,国家电网技术中心实习,KalamazooCollege计算机系RA,课设若干,,,,,,,,,,,
216,"YiPiaoBaoInternationalFinanceInformationServicesCO.,LTDinternship",JovoGroupinternship,AlliancePKUManagementConsultantsLtd.internship,TheGluGo,0MarketingPlan,OrganizationalBehaviorReport,,,,,,,,,
217,山东东营团尚网络科技公司网络维护实习生,华为南京研究所实习生,新加坡国立大学summerworkshop：bigdataandcloudcomputing,基于机器学习的智能医疗护理建模,东南大学软件工程设计实践项目“虚拟校园管理系统”,基于计算机视觉处理技术的景区人流量实时监控及预测方案,东南大学信息安全竞赛《基于攻击思维的弱口令监测和改进系统》校级三等奖,利用基因片段大数据判断不同疾病,,,,,,,
218,重庆大学机械传动国家重点实验室,人体外骨骼装置毕设,辛辛那提大学TA,MITEECSRoboticsResearchProgram,中国信息通信集团有限公司实习,,,,,,,,,,
219,重庆大学机械传动国家重点实验室,人体外骨骼装置毕设,辛辛那提大学TA,MITEECSRoboticsResearchProgram,中国信息通信集团有限公司实习,,,,,,,,,,
